Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,37898
Base Time Seconds,1747861081
Base Time Fractional,.956719420
Base Time,05/21/2025 20:58:01.956719420
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
0.0001074224710464,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.068574860
0.000107541680336,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.069904660
0.000107079744339,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.071224040
0.0001076608896255,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.072535300
0.0001077800989151,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.073850980
0.0001077800989151,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.075167620
0.000107541680336,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.076487860
0.0001077800989151,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.077805100
0.0001078993082047,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.079147920
0.0001077800989151,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.080462020
0.0001081228256226,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.081787000
0.0001076608896255,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.083111520
0.0001073032617569,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.084424060
0.0001078993082047,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.085738460
0.0001078993082047,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.087061040
0.0001076608896255,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.088375400
0.000107541680336,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.089698900
0.0001078993082047,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.091023420
0.0001074224710464,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.092334820
0.0001085996627808,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.093654020
0.0001082420349121,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.094965120
0.0001060217618942,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.096275920
0.0001069605350494,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.097590840
0.0001087039709091,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.098913940
0.0001082420349121,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.100239920
0.0001088231801987,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.101557220
0.0001083612442017,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.102871000
0.0001077800989151,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.104180340
0.0001083612442017,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.105495880
0.0001077800989151,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.106811080
0.0001089423894882,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.108121300
0.0001088231801987,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.109451100
0.0001076608896255,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.110765800
0.0001078993082047,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.112086980
0.0001081228256226,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.113402540
0.0001069605350494,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.114718700
0.000107079744339,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.116041720
0.0001082420349121,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.117356740
0.0001056790351868,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.118674520
0.0001069605350494,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.120001440
0.0001085996627808,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.121316620
0.0001062601804733,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.122631600
0.0001073032617569,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.123945900
0.0001083612442017,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.125260120
0.000107541680336,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.126580520
0.0001087039709091,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.127888980
0.000107079744339,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.129217500
0.0001097619533539,Amp DC,.1,4.5,F,F,F,F,F,F,Front,F,Main,1.8700000000000,Volt DC,1,T,2W,F,F,0.130529100
